shopName,shopAddress,shopPhone,licencePics
煲煲赞煲仔饭●焗饭（吉大店）,吉大大乸街26D,['07562843580'],"['http://p0.meituan.net/xianfu/cd4c6820de95cf23903c2d9f0bc4bd9398829.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/093ccfaaec54b010620da3d283b17c2942824.jpg@900w_600h_1e_1c']"
華歡冰室,吉大石花东路77,['13360777183'],"['http://p0.meituan.net/waimaipoi/0228a7f095034861762dca988adf5f91160000.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/48074fcb71efdcbcf2175a396cd9ae04201699.jpg@900w_600h_1e_1c']"
回家湘·一碗饭香,珠海市香洲区吉大园林西路138号154号,['15812759950'],"['http://p0.meituan.net/waimaipoi/d5a9c343078568d0915c514aef9bccfb58610.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/91163f7d4fd7fadac87699ebc2da6129324262.jpg@900w_600h_1e_1c']"
小肥炖汤（炖汤/蒸饭/粉面/云吞）,珠海市香洲区吉大景山路49号、51号,['18923373377'],"['http://p0.meituan.net/waimaipoi/2d4530b9aa5fdc44178e4eab2121166f184580.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/4db61eb83b99e7423a85bfc74b4a26ff136281.jpg@900w_600h_1e_1c']"
杰克麦吉汉堡,珠海市保税区生活配套区7号地民生宿舍A-1栋11号B铺,['15220522237'],"['http://p0.meituan.net/waimaipoi/9f0e9fc0956e2ab1d4ed6403ee539f41209960.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/340faefdff3304afdd1286286f4e4b99120969.jpg@900w_600h_1e_1c']"
品旺餐饮店（广式烧腊）,湾仔海关后门侧（市场对面小商品街2号）商店,"['18902866674', '07568302789']","['http://p0.meituan.net/waimaipoi/2d9cbf3e94f7c414bb3b3043c8e79f70283552.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/5a93a0ff7a63e2a6a5eae0873f6aca4c96757.jpg@900w_600h_1e_1c']"
来宽记烧腊饭店（湾仔店）,珠海市香洲区湾仔下沙街四巷53号B铺,"['15876651573', '15019922758']","['http://p0.meituan.net/xianfu/4362c14576bbfcda3f89b337435b6269128084.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/81da26002fdf3505a362a3a5f0fcde34205288.jpg@900w_600h_1e_1c']"
杰缘茶餐厅,珠海市香洲区湾仔桂园路16号、18号铺,"['07568822992', '13763220903']","['http://p1.meituan.net/xianfu/d56ac0232a13b493336c614a43f482bc97742.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/9372d0dbe6184bab0c6c86dd789b42ac110218.jpg@900w_600h_1e_1c']"
有渡到家三文鱼,珠海市湾仔江海路66号湾仔市场一楼5号档,['13926992708'],"['http://p0.meituan.net/xianfu/64d8d2cd08d488f478bfad78629cee5398267.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/0f3643d2e68631e215434ca904f2324c98465.jpg@900w_600h_1e_1c']"
小缘甜品（珠海灣仔店）,珠海市香洲区湾仔沙井路西56号A铺,"['13727051871', '15916333119', '13928036788', '13926939088']","['http://p1.meituan.net/waimaipoi/c6d8a70958e6dca1d9c0c387885e418e77387.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/156b72c79af3f13dbd6760042c12db9f98364.jpg@900w_600h_1e_1c']"
