shopName,shopAddress,shopPhone,licencePics
上海麦当劳宝山餐厅,友谊路160号,['4000517117'],"['http://p1.meituan.net/waimaipoi/fd00a85825df6699dcfc38850d9184fa1183079.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/5ad578307cba7c7f4298296c60f069331346878.jpg@900w_600h_1e_1c']"
沪上客大食堂（盘古店）,上海市宝山区盘古路476号,['02156609874'],"['http://p1.meituan.net/xianfu/d878e7d654635b9605761d1cf3b4404a116453.jpeg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/d323084144a83d0ce294f0bebf81918c219524.jpg@900w_600h_1e_1c']"
付记盱眙十三香龙虾,上海市宝山区友谊路街道牡丹江路1800号,['18149711474'],"['http://p1.meituan.net/waimaipoi/90a110394c67e7360ab09d4eb6a8b5f098621.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/fc031c95fd6c8b8d8f93c3db921fe8c0257270.jpg@900w_600h_1e_1c']"
小绍兴（原东林店）,牡丹江路1795号,"['02156601717', '15316221760']","['http://p1.meituan.net/xianfu/a55378120184c9909a6405b41a20adc868693.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/0a58f4db3b1b1c59c0f2e38c8c8193a572759.jpg@900w_600h_1e_1c']"
避风塘(宝乐汇店),上海市宝山区牡丹江路1569号F501室,['021-66220058'],"['http://p0.meituan.net/xianfu/8bee6f108c2fc6880ba45d5424301df6155649.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/913f9befdb842947b3db12df944732d5320549.jpg@900w_600h_1e_1c']"
君忆长沙印象·经典湘菜,同济路999号15号楼,['02166685055'],"['http://p0.meituan.net/xianfu/f95aadb89b1d52b1cc0de84d8965d731285342.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/2a71e98f569051ec181c23e4a7bdeb4e29792.jpg@900w_600h_1e_1c']"
谷田稻香（宝乐汇店）,上海市宝山区牡丹江路1569号宝乐汇生活广场负一层B123,['021-66228020'],"['http://p0.meituan.net/xianfu/1e9a74ade6fca2d1bf810e68b14dc1ec163058.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/da348639d9a9cca78ad710b8addbe2b2222713.jpg@900w_600h_1e_1c']"
秦风赣水（宝钢店）,上海市宝山区同济路999号15号楼112室,"['17317965093', '02166787757']","['http://p0.meituan.net/xianfu/370537eae75c56735990b1dd6ddcc71465441.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/e7271a1451e7c81c21dc49dc2f3648cb163512.jpg@900w_600h_1e_1c']"
潼关肉夹馍（宝乐汇店）,上海市宝山区牡丹江路1569号B1层B136A号,"['18201721091', '13585514751']","['http://p0.meituan.net/xianfu/0527bd238bc31f487f405843cd2cf1b9105416.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/845df7a165cab222f75a9bc22c240d48130372.jpg@900w_600h_1e_1c']"
和府捞面（上海宝山友谊路店）,上海市宝山区友谊路211号和府捞面,"['18262506700', '18895790234']","['http://p0.meituan.net/waimaipoi/5c5a832497593e744002383f2b5fa7b6139344.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/811a674cfdc5d7b2919fd4826ed4f12d305359.jpg@900w_600h_1e_1c']"
三米粥铺（东林路店）,上海市宝山区东林路201号M2,['18017480336'],"['http://p1.meituan.net/xianfu/659e4920fff8200adb607990b54273f1171257.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/92d591d61992cd00aec58e8f05a9db2c190898.jpg@900w_600h_1e_1c']"
